date,year,month,toa_net_flux_w_m2,decimal_year,EEI
2000-03-01,2000,3,-0.92,2000.2083333333333,
2000-04-01,2000,4,-0.12,2000.2916666666667,
2000-05-01,2000,5,-1.0,2000.375,
2000-06-01,2000,6,-1.26,2000.4583333333333,
2000-07-01,2000,7,-0.08,2000.5416666666667,
2000-08-01,2000,8,-0.31,2000.625,
2000-09-01,2000,9,-0.43,2000.7083333333333,
2000-10-01,2000,10,-0.41,2000.7916666666667,
2000-11-01,2000,11,0.14,2000.875,
2000-12-01,2000,12,-0.3,2000.9583333333333,
2001-01-01,2001,1,1.38,2001.0416666666667,
2001-02-01,2001,2,0.1,2001.125,-0.2675
2001-03-01,2001,3,0.66,2001.2083333333333,-0.13583333333333333
2001-04-01,2001,4,-1.05,2001.2916666666667,-0.21333333333333335
2001-05-01,2001,5,-1.18,2001.375,-0.22833333333333336
2001-06-01,2001,6,-0.76,2001.4583333333333,-0.18666666666666668
2001-07-01,2001,7,-0.04,2001.5416666666667,-0.18333333333333332
2001-08-01,2001,8,-1.19,2001.625,-0.25666666666666665
2001-09-01,2001,9,0.48,2001.7083333333333,-0.18083333333333332
2001-10-01,2001,10,-0.97,2001.7916666666667,-0.2275
2001-11-01,2001,11,-0.44,2001.875,-0.2758333333333333
2001-12-01,2001,12,-1.15,2001.9583333333333,-0.3466666666666667
2002-01-01,2002,1,-0.58,2002.0416666666667,-0.5099999999999999
2002-02-01,2002,2,-0.82,2002.125,-0.5866666666666667
2002-03-01,2002,3,-0.38,2002.2083333333333,-0.6733333333333333
2002-04-01,2002,4,-1.35,2002.2916666666667,-0.6983333333333333
2002-05-01,2002,5,-0.63,2002.375,-0.6525
2002-06-01,2002,6,-1.14,2002.4583333333333,-0.6841666666666667
2002-07-01,2002,7,-1.54,2002.5416666666667,-0.8091666666666666
2002-08-01,2002,8,-1.67,2002.625,-0.8491666666666666
2002-09-01,2002,9,-0.7,2002.7083333333333,-0.9474999999999999
2002-10-01,2002,10,0.52,2002.7916666666667,-0.8233333333333333
2002-11-01,2002,11,-0.49,2002.875,-0.8275
2002-12-01,2002,12,-0.26,2002.9583333333333,-0.7533333333333333
2003-01-01,2003,1,-0.79,2003.0416666666667,-0.7708333333333334
2003-02-01,2003,2,-0.02,2003.125,-0.7041666666666666
2003-03-01,2003,3,-0.47,2003.2083333333333,-0.7116666666666666
2003-04-01,2003,4,-0.76,2003.2916666666667,-0.6625
2003-05-01,2003,5,-1.08,2003.375,-0.7000000000000001
2003-06-01,2003,6,-0.47,2003.4583333333333,-0.6441666666666667
2003-07-01,2003,7,-0.28,2003.5416666666667,-0.5391666666666667
2003-08-01,2003,8,0.18,2003.625,-0.385
2003-09-01,2003,9,-0.12,2003.7083333333333,-0.33666666666666667
2003-10-01,2003,10,-0.48,2003.7916666666667,-0.42
2003-11-01,2003,11,-0.27,2003.875,-0.40166666666666667
2003-12-01,2003,12,-0.3,2003.9583333333333,-0.405
2004-01-01,2004,1,0.24,2004.0416666666667,-0.31916666666666665
2004-02-01,2004,2,0.23,2004.125,-0.29833333333333334
2004-03-01,2004,3,-1.31,2004.2083333333333,-0.36833333333333335
2004-04-01,2004,4,0.31,2004.2916666666667,-0.27916666666666673
2004-05-01,2004,5,-1.55,2004.375,-0.31833333333333336
2004-06-01,2004,6,-1.52,2004.4583333333333,-0.4058333333333333
2004-07-01,2004,7,0.78,2004.5416666666667,-0.31749999999999995
2004-08-01,2004,8,-0.29,2004.625,-0.3566666666666667
2004-09-01,2004,9,0.43,2004.7083333333333,-0.31083333333333335
2004-10-01,2004,10,-0.7,2004.7916666666667,-0.32916666666666666
2004-11-01,2004,11,0.17,2004.875,-0.2925
2004-12-01,2004,12,0.88,2004.9583333333333,-0.19416666666666668
2005-01-01,2005,1,-0.36,2005.0416666666667,-0.24416666666666667
2005-02-01,2005,2,-1.05,2005.125,-0.35083333333333333
2005-03-01,2005,3,-0.26,2005.2083333333333,-0.2633333333333333
2005-04-01,2005,4,-0.93,2005.2916666666667,-0.36666666666666664
2005-05-01,2005,5,0.62,2005.375,-0.18583333333333332
2005-06-01,2005,6,-0.94,2005.4583333333333,-0.13749999999999998
2005-07-01,2005,7,-1.22,2005.5416666666667,-0.30416666666666664
2005-08-01,2005,8,-1.04,2005.625,-0.3666666666666667
2005-09-01,2005,9,-0.19,2005.7083333333333,-0.4183333333333333
2005-10-01,2005,10,-0.57,2005.7916666666667,-0.4075
2005-11-01,2005,11,-0.45,2005.875,-0.45916666666666667
2005-12-01,2005,12,0.69,2005.9583333333333,-0.47500000000000003
2006-01-01,2006,1,0.58,2006.0416666666667,-0.39666666666666667
2006-02-01,2006,2,0.32,2006.125,-0.28250000000000003
2006-03-01,2006,3,-0.27,2006.2083333333333,-0.2833333333333333
2006-04-01,2006,4,0.35,2006.2916666666667,-0.17666666666666667
